figure,panel,analysis,row_order,label,cohort,transition,ic_level,metric,effect_scale,estimate,lower,upper,p_value,i2,prediction_lower,prediction_upper,n,records
1,A,cohort,1,HRS,,,,,,,,,,,,,,
1,A,cohort,2,ELSA,,,,,,,,,,,,,,
1,A,cohort,3,CHARLS,,,,,,,,,,,,,,
1,A,cohort,4,SHARE,,,,,,,,,,,,,,
1,A,cohort,5,MHAS,,,,,,,,,,,,,,
1,A,population,6,Primary multistate population,,,,,,,,,,,,,124310,483747
1,A,population,7,Episode-history population,,,,,,,,,,,,,103868,307356
1,A,population,8,Reciprocal temporal population,,,,,,,,,,,,,79046,278157
1,A,population,9,Qualitative replication population,,,,,,,,,,,,,7346,
2,A,pooled_transition,1,independent_to_disability,,1-2,,,hazard_ratio,0.9021668406654327,0.8402518666135169,0.9686440943910606,0.015857385352401127,48.78060592856116,0.7818870488415294,1.0409495970065725,124310,
2,A,pooled_transition,2,independent_to_death,,1-3,,,hazard_ratio,1.0298735697950698,0.8847505450628371,1.1988006966269924,0.6190613345179097,37.15510097555829,0.7823939775411568,1.3556336068635535,124310,
2,A,pooled_transition,3,disability_to_recovery,,2-1,,,hazard_ratio,1.0292991698888614,0.9670379147700484,1.095569020565059,0.26815267531594095,0.2016476291590433,0.9667096115454782,1.095941085596683,124310,
2,A,pooled_transition,4,disability_to_death,,2-3,,,hazard_ratio,0.8858843166320878,0.8386591048344878,0.9357687979904331,0.0035650146138289126,20.95153856813113,0.7968770482520544,0.9848332615127217,124310,
2,B,cohort_onset,1,CHARLS,CHARLS,1-2,,,hazard_ratio,0.863502735377297,0.7557305563645349,0.9866439403892625,0.030952067448846723,,,,,
2,B,cohort_onset,2,ELSA,ELSA,1-2,,,hazard_ratio,0.8733079914257179,0.802056225536191,0.9508895057552396,0.0018104291819230013,,,,,
2,B,cohort_onset,3,HRS,HRS,1-2,,,hazard_ratio,0.9764247381396252,0.9178959469602632,1.0386855638793986,0.4493602504779933,,,,,
2,B,cohort_onset,4,MHAS,MHAS,1-2,,,hazard_ratio,0.8650993950537654,0.7261262003576318,1.0306706505753274,0.10482813547170332,,,,,
2,B,cohort_onset,5,SHARE,SHARE,1-2,,,hazard_ratio,0.8807889737286768,0.8203396639268458,0.945692681161394,4.665270068623769e-4,,,,,
2,B,cohort_onset,6,Pooled,Pooled,1-2,,,hazard_ratio,0.9021668406654327,0.8402518666135169,0.9686440943910606,0.015857385352401127,48.78060592856116,0.7818870488415294,1.0409495970065725,124310,
2,C,conditional_environment,1,lower,,1-2,lower,,hazard_ratio,0.9123515209627308,0.8282145160574802,1.005035871340896,0.05804636685480196,91.71738571924975,0.7299706986317434,1.140299602933694,124310,
2,C,conditional_environment,2,mean,,1-2,mean,,hazard_ratio,0.8754469900063521,0.809198162989122,0.9471195899408941,0.00935433177187189,92.08391952157046,0.7318446509047934,1.047226937251858,124310,
2,C,conditional_environment,3,higher,,1-2,higher,,hazard_ratio,0.8253298951063507,0.7920963623285396,0.8599577881582666,2.039823070061132e-4,5.252006767408864,0.7895267443353985,0.8627566331899869,124310,
2,D,robustness,1,Primary continuous-time,,1-2,,,hazard_ratio,0.9021668406654327,0.8402518666135169,0.9686440943910606,0.015857385352401127,48.78060592856116,0.7818870488415294,1.0409495970065725,,
2,D,robustness,2,Strict incident first event,,1-2,,,hazard_ratio,0.8843896825607972,0.8254642171098653,0.9475215211126322,0.007777649963275452,48.81075914251174,0.7706219103410098,1.0149531178965294,,
